brand,title,productPageUrl,offerPrice,quantity,standardUpc
Petstages,Petstages Zebra Tug-of-War Durable Fire Hose Dog Toy,/ip/Petstages-Zebra-Tug-of-War-Durable-Fire-Hose-Dog-Toy/152706452,8.97,57,700603301336
Petstages,"Petstages Orka Flyer Flying Disc Dog Toy, Royal Blue, One-Size",/ip/Petstages-Orka-Flyer-Flying-Disc-Dog-Toy-Royal-Blue-One-Size/15388712,10.3,192,871864002314
Vibrant Life,"Vibrant Life Cozy Buddy Sock Monkey Dog Toy, Color May Vary, Chew Level 3",/ip/Vibrant-Life-Cozy-Buddy-Sock-Monkey-Dog-Toy-Color-May-Vary-Chew-Level-3/284744604,2.97,143,681131285483
R2P Pet,R2P Pet Assorted Color Plush,/ip/R2P-Pet-Assorted-Color-Plush/47041374,0.96,1207,847388000167
Vibrant Life,"Vibrant Life Cozy Buddy Floppy Dog Toy, Chew Level 1",/ip/Vibrant-Life-Cozy-Buddy-Floppy-Dog-Toy-Chew-Level-1/111080389,2.42,328,681131285452
BarkBox,BarkBox DIY Holiday Gift Box - Snowbound Hounds,/ip/BarkBox-Dog-Toys-Treats-and-Chew-Kit-Snowbound-Hounds-Theme-Medium-20-50lbs/893193561,28,538,468931935615
Hartz Dura Play,Hartz Dura Play Bone Dog Toy,/ip/Hartz-Dura-Play-Bone-Dog-Toy-Medium-Color-May-Vary/15610466,2.52,3520,32700992828
Nylabone,Nylabone Real Wood Stick Strong Dog Stick Chew Toy Hickory Smoked Beef Flavor Medium/Wolf - Up to 35 lbs.,/ip/Nylabone-Real-Wood-Stick-Strong-Dog-Stick-Chew-Toy-Hickory-Smoked-Beef-Flavor-Medium-Wolf-Up-to-35-lbs/493816403,6.94,353,18214845317
Nylabone,Nylabone Nubz Natural Long Lasting Edible Beef Dog Chews Beef Flavor X-Large - 50+ lbs.,/ip/Nylabone-Nubz-Natural-Long-Lasting-Edible-Beef-Dog-Chews-Beef-Flavor-X-Large-50-lbs/233215518,5.43,1892,18214844501
Hartz,"Hartz Floppy Fantasy Cuddly Dog Squeaky Toy, Assorted Colors",/ip/Hartz-Floppy-Fantasy-Cuddly-Dog-Squeaky-Toy-Assorted-Colors/16458295,6.44,55,32700965259
Lumabone,Lumabone Bacon Flavored Wishbone Dog Chew Toy,/ip/Lumabone-Bacon-Flavored-Wishbone-Dog-Chew-Toy-Small/55465360,7.97,881,854111004187
Outward Hound,Outward Hound Ripstop Dog Life Jacket,/ip/Outward-Hound-Granby-Splash-Dog-Life-Jacket-Orange-Small/46831078,18.24,544,700603220194
Vibrant Life,"Vibrant Life Fetch Buddy Ball Treat Roller Dog Toy, Color May Vary",/ip/Vibrant-Life-Fetch-Buddy-Ball-Treat-Roller-Dog-Toy-Color-May-Vary/464444547,4.97,143,681131234740
Multipet,Multipet Ultimate Plush Stuffed Duck Dog Toy with Squeaker,/ip/Multipet-Ultimate-Plush-Stuffed-Duck-Dog-Toy-with-Squeaker/926012780,5.59,363,784369727265
Hartz Chew 'n Clean,"Hartz Chew n Clean Teething Ring Dog Toy, Small/Medium",/ip/Hartz-Chew-n-Clean-Teething-Ring-Dog-Toy-Small-Medium/42860092,7.21,72,32700993955
Mammoth,"Mammoth TireBiter Rubber Tire Dog Toy, Medium, 8""",/ip/Mammoth-TireBiter-Rubber-Tire-Dog-Toy-Medium-8/19687117,8.97,7464,746772310083
Outward Hound,"Outward Hound Port A Bowl Portable Dog Dish, Green, Large",/ip/Outward-Hound-Port-A-Bowl-Portable-Dog-Dish-Green-Large/55467797,5.58,187,700603230025
Chuckit!,"Chuckit! Fetch Wheel Durable Dog Toy, Bounces and Floats",/ip/Chuckit-Fetch-Wheel-Durable-Dog-Toy-Bounces-and-Floats/46161273,26.99,508,660048002239
Chuckit!,Chuckit! Ultra Ring Dog Fetch Toy,/ip/Chuckit-Ultra-Ring-Dog-Fetch-Toy/373529664,5.97,54,29695330995
Play365,Play 365 Dog Toys Jurassic Cord Crew Massospondylus Purple Large,/ip/Play-365-Dog-Toys-Jurassic-Cord-Crew-Massospondylus-Purple-Large/670364784,10.12,122,810013452655
Vibrant Life,"Vibrant Life Cozy Buddy Large Camo Hedgehog Dog Toy, Chew Level 2",/ip/Vibrant-Life-Cozy-Buddy-Large-Camo-Hedgehog-Dog-Toy-Chew-Level-2/585634205,4.97,109,681131285322
Vibrant Life,"Vibrant Life Cozy Buddy Small Hedgehog Dog Toy, Color May Vary, Chew Level 2",/ip/Vibrant-Life-Cozy-Buddy-Small-Hedgehog-Dog-Toy-Color-May-Vary-Chew-Level-2/431455910,2.97,175,681131285117
Vibrant Life,"Vibrant Life Playful Buddy Latex Chicken Dog Toy, Character May Vary, Chew Level 2",/ip/Vibrant-Life-Playful-Buddy-Latex-Chicken-Dog-Toy-Character-May-Vary-Chew-Level-2/985244368,5.94,88,681131285193
Vibrant Life,"Vibrant Life Fetch Buddy Giraffe Interactive Dog Toy, Chew Level 3",/ip/Vibrant-Life-Fetch-Buddy-Giraffe-Interactive-Dog-Toy-Chew-Level-3/972101854?wpa_bd=&wpa_pg_seller_id=F55CDC31AB754BB68FE0B39041159D63&wpa_ref_id=wpaqs:1kefaMYdQ_3rqVdssGGiA-nNcUe-G7TI1Xoh0-NEnLFIYPgQAsp6jmUmkwzZFwGZ9YYJoTUwhNTE3zkULQJUA5ipiFy5JhDsRLnH-AIniqrcd_RweM8ejGhZC7uEe4CJ3aFZCMVRxXNGYPCn89XFvRkcSpTzxaZrw67o1HZA9mhuzr4S3T5_LomWTUu506ZRlNjY_3WoYkVJIUxhnI3EXQ&wpa_tag=__tag__&wpa_aux_info=__aux_info__&wpa_pos=37&wpa_plmt=__plmt__&wpa_aduid=__aduid__,5.86,31,681131285285
Bark Box,BarkBox Stuffed Plush Tug Dog Toy - Roll Over Party Blower,/ip/BarkBox-Stuffed-Plush-Tug-Dog-Toy-Roll-Over-Party-Blower/840968989,9.99,160,815944027866
Bark Box,BarkBox Stuffed Plush Tug Dog Toy - The Party Farter,/ip/BarkBox-Stuffed-Plush-Tug-Dog-Toy-The-Party-Farter/518134510,7.99,133,815944027835
DreamBone,DreamBone Chicken Flavored Rawhide-Free Dog Chews,/ip/DreamBone-Chicken-Flavored-Rawhide-Free-Dog-Chews-Mini-22-5-Oz-40-Count/45911860?wpa_bd=&wpa_pg_seller_id=F55CDC31AB754BB68FE0B39041159D63&wpa_ref_id=wpaqs:6ikQK939mO-r97T1jObIfSuMeQeh_tThE67AgfVmBeWbOMUedwKb2Pd3XgJcLhgAgQSJ6odAn4kKNkJmVifRIII0Rg_cg0-hzX-h1t2vHtQIy4OMIqxXCa1ZcKtxuL2x3aFZCMVRxXNGYPCn89XFvRkcSpTzxaZrw67o1HZA9mhuzr4S3T5_LomWTUu506ZRlNjY_3WoYkVJIUxhnI3EXQ&wpa_tag=__tag__&wpa_aux_info=__aux_info__&wpa_pos=3&wpa_plmt=__plmt__&wpa_aduid=__aduid__,10.98,906,810833023707
Petstages,"Petstages Latex Free Chew Dog Squeaky Toy, Assorted, Large",/ip/Petstages-Latex-Free-Chew-Dog-Squeaky-Toy-Assorted-Large/134258560?wpa_bd=&wpa_pg_seller_id=F55CDC31AB754BB68FE0B39041159D63&wpa_ref_id=wpaqs:CLz2XdGDMC9dL8OCY_LYQWIEWo86YNdXj9jFbHsr89ZIYPgQAsp6jmUmkwzZFwGZ9YYJoTUwhNTE3zkULQJUA3Q2U0_uZysn2u_GbZ5kyLuT48OMUnADAdR0RJ8RF11b3aFZCMVRxXNGYPCn89XFvRkcSpTzxaZrw67o1HZA9mhuzr4S3T5_LomWTUu506ZRlNjY_3WoYkVJIUxhnI3EXQ&wpa_tag=__tag__&wpa_aux_info=__aux_info__&wpa_pos=4&wpa_plmt=__plmt__&wpa_aduid=__aduid__,4.97,338,871864007586
Bark Box,BarkBox Stuffed Plush Multi-Part Dog Toy - Freedom Flip-Flops,/ip/BarkBox-Stuffed-Plush-Multi-Part-Dog-Toy-Freedom-Flip-Flops/740776270,9.99,98,815944027507
Bark Box,BarkBox Stuffed Plush Dog Toy - Regal the Eagle,/ip/BarkBox-Stuffed-Plush-Dog-Toy-Regal-the-Eagle/911322648,9.99,67,815944027521
Bark Box,BarkBox Stuffed Plush Dog Toy - Supper Ate Camcorder,/ip/BarkBox-Stuffed-Plush-Dog-Toy-Supper-Ate-Camcorder/532326336,11.99,36,815944024643
